ingredient_name,aliases,category,serving_size,direct_cognitive_benefits,indirect_cognitive_benefits,key_nutrients,mechanisms,calories,mind_diet,mediterranean_diet,dash_diet,anti_inflammatory,gut_health/microbiome_support,carbohydrates_gm,glycemic_index,glycemic_load,protein_gm,fiber_gm
Adzuki Beans,,Beans,½ cup cooked (small fist),"Rich in fermentable fiber and polyphenols that nourish gut bacteria, leading to higher production of butyrate and other neuroprotective metabolites. Diets high in beans are linked to better cognitive function in aging.",Improve cardiovascular health by lowering LDL cholesterol and blood pressure; help regulate blood sugar and body weight. High in antioxidants and anti-inflammatory compounds that reduce chronic disease risk.,"Protein, fiber, polyphenols, anthocyanins, minerals","Antioxidant, heart health, diabetes prevention",150,yes,yes,yes,yes,prebiotic,22.5,35.0,22,20.0,13.0
Almonds,,Nuts,1 oz (small handful),"May improve visuospatial working memory, visual memory, learning, and spatial planning in older adults; possible support for dementia prevention","May reduce cardiovascular risk, improve lipid profile, lower blood pressure, support weight control, and reduce diabetes risk, all of which are linked to cognitive health","Vitamin E (alpha-tocopherol), B-vitamins, magnesium, calcium, copper, healthy fats (MUFA, PUFA), fiber, polyphenols, phytosterols, protein","Antioxidant and anti-inflammatory effects, improved lipid and glucose metabolism, modulation of gut microbiota, neuroprotection via reduced oxidative stress and inflammation",590,yes,yes,yes,yes,prebiotic,21,10,5,21.0,12.0
Amaranth,,Whole Grains,½ cup cooked / 1 slice bread (½ fist),High in fiber and polyphenols that feed beneficial gut microbes. Regular nut consumption (including almonds) is associated with better cognitive performance in older adults. Vitamin E in almonds is neuroprotective.,"Proven to improve blood lipid profiles (lower LDL) and reduce inflammatory markers. Almonds help lower C-reactive protein and IL-6, reducing cardiovascular risk. Provide magnesium and healthy fats for metabolic health.","Complete protein, fiber, vitamins, minerals, phenolics, flavonoids, tocopherols","Antioxidant, anti-inflammatory, antihypertensive, antidiabetic, anticancer",125,yes,yes,yes,yes,prebiotic,32.5,107.0,100,14.0,7.0
Apple Cider Vinegar,,Vinegar,1 - 2 tbsp,Rich in marine omega-3 (EPA/DHA) which support brain health and may modulate gut microbiota toward a less inflammatory profile. Omega-3s are linked to slower cognitive decline and reduced AlzheimerÃ¢ÂÂs risk in cohorts.,High in EPA/DHA for heart health Ã¢ÂÂ regularly eating oily fish is associated with significantly lower CVD incidence and mortality. Provides calcium (if eaten with bones) and vitamin D for bone and immune health.,"Contains acetic acid, amino acids, vitamins, minerals, polyphenols, organic acids","Modulates immunity, improves digestive enzyme activity, regulates lipid metabolism, exhibits antimicrobial effects, and may support antioxidant defenses",3,yes,yes,yes,yes,postbiotic,0.0,0.0,0,0.0,0.0
Apples,apple,Fruit,1 Medium,"Apples (especially with skin) provide pectin fiber and polyphenols that feed Bifidobacteria, supporting gut health and indirectly cognitive health. Higher fruit intake (including apples) is associated with better brain function. Quercetin in apples may reduce neuroinflammation.","Apple fiber and polyphenols help lower cholesterol and improve glycemic control. Regular apple consumption is linked to reduced cardiovascular disease risk and improved antioxidant status. Anti-asthma and immune-supportive properties (vitamin C, quercetin).","Polyphenols, flavonoids, vitamin C, fiber","Antioxidant, heart health, digestive health",95,yes,yes,yes,yes,prebiotic,17.5,40.0,6,0.3,2.4
Artichokes,salad,Vegetables,1 cup raw / ½ cup cooked (1 handful),"Excellent source of inulin, a prebiotic fiber that increases beneficial gut bacteria (like Bifidobacteria). Prebiotic intake from artichoke improves microbiota and has been associated with better memory in animal studies via enhanced short-chain fatty acid production.",Known to aid digestion and liver health. High antioxidant content (polyphenols) reduces oxidative stress; artichoke consumption can improve cholesterol profiles (lower LDL) and attenuate post-meal glucose spikes. Anti-inflammatory and supports bile flow.,"Fiber, vitamins, minerals, phenolic compounds","Antioxidant, digestive health, cardiovascular benefits",60,no,yes,yes,no,prebiotic,13.0,20.0,1.2,3.3,5.4
Arugula,salad,Green Leafy Vegetables,1 cup raw / ½ cup cooked (1 handful),"Leafy green rich in fiber and nitrates. Nitrates improve cerebrovascular blood flow, supporting cognition. Frequent leafy green intake is associated with slower cognitive decline (people eating 1 serving/day had brains 11 years younger).","Nitrates in arugula improve vascular function and lower blood pressure. Provides vitamin K, folate, and antioxidants (glucosinolates) that reduce inflammation and cancer risk. Contributes to heart health and nitric oxide production.","Vitamin K (phylloquinone), lutein, folate, nitrate, ÃÂ±-tocopherol, kaempferol, ÃÂ²-carotene","Antioxidant, anti-inflammatory, improves vascular and cognitive function",5,yes,yes,yes,yes,no,1.5,15.0,10,2.6,1.6
Asiago Cheese,,Aged/Hard Fermented Cheese,1 cup,"Fermented cheese; provides bioactive peptides from fermentation that may support gut microbes. Limited direct evidence for cognition Ã¢ÂÂ high saturated fat means cheese is not emphasized in brain-healthy diets. Some fermented cheeses contain probiotic strains, but Asiago is usually aged (fewer live cultures).","Good source of calcium and protein. Fermentation produces CLA and vitamin KÃ¢ÂÂ which support cardiovascular and bone health. However, due to saturated fat and salt, best consumed in moderation (excess cheese linked to higher LDL). Some anti-inflammatory peptides are present from fermentation.","Protein, calcium, B vitamins, bioactive peptides (antihypertensive, antioxidant, antimicrobial), vitamin K2 (notably in aged/fermented types), minerals","Bone health, muscle support, blood pressure regulation, cardiovascular health, immune support",110,no,yes,no,no,probiotic;postbiotic,0.5,0.0,0,25.0,0.0
Asparagus,salad,Vegetables,1 cup raw / ½ cup cooked (1 handful),"High in inulin and fiber, feeding gut bacteria that produce butyrate Ã¢ÂÂ linked to improved brain health. Also rich in folate which is essential for cognitive function. In animal studies, asparagus prebiotics improved memory and anxiety by modulating gut flora.",Supports heart health by improving homocysteine levels (due to folate) and providing antioxidants (glutathione). Increases urinary tract health. Anti-inflammatory and diuretic properties aid blood pressure control.,"Folate, fiber, vitamins (C, K), minerals","Antioxidant, cardiovascular health, supports pregnancy",20,yes,yes,yes,yes,prebiotic,2.5,15.0,0.6,2.2,2.1
Avocado Oil,,Oils,2-4 tbsp,Cold-pressed avocado oil retains some polyphenols and vitamin E that can support gut health (though it contains no fiber). Antioxidants may reduce neuroinflammation. Monounsaturated fats support cerebral blood flow and cognitive function.,"High in heart-healthy oleic acid (similar to olive oil) Ã¢ÂÂ lowers LDL and improves HDL. Contains lutein, beneficial for eye and brain health. Anti-inflammatory effects can benefit cardiovascular and joint health. Use uncooked or low heat to preserve nutrients.","MUFA (oleic acid), vitamin E, carotenoids, chlorophylls, phytosterols, antioxidants","Antioxidant and anti-inflammatory effects, improved bloodÃ¢ÂÂbrain barrier function, reduced amyloid-? and tau pathology, enhanced brain connectivity, modulation of oxidative stress and neuroinflammation.",15,yes,yes,yes,yes,no,0.0,0.0,0,0.0,0.0
