ingredient_name,mind_diet,mediterranean_diet,dash_diet,table_nutrition
Adzuki Beans,yes,yes,yes,yes
Almonds,yes,yes,yes,yes
Amaranth,yes,yes,yes,yes
Anchovies,yes,yes,yes,yes
Apple Cider Vinegar,yes,yes,yes,yes
Apples,yes,yes,yes,yes
Artichokes,no,yes,yes,no
Arugula,yes,yes,yes,yes
Asiago Cheese,no,yes,no,no
Asparagus,yes,yes,yes,yes
Avocado Oil,yes,yes,yes,yes
Avocados,yes,yes,yes,yes
Baked Chickpea Snacks,yes,yes,yes,yes
Balsamic Vinegar,yes,yes,yes,yes
Barley,yes,yes,yes,yes
Beet Pasta,yes,yes,yes,yes
Beets,yes,yes,yes,yes
Bell Peppers,no,no,no,yes
Bilberries (Dried),yes,yes,no,yes
Black Beans,yes,yes,yes,yes
Black currants (Dried),yes,yes,yes,yes
Blackberries,yes,yes,yes,yes
Blue Cheese,no,yes,no,yes
Blue Corn,yes,yes,no,no
Blueberries,yes,yes,yes,yes
Brazil Nuts,yes,yes,yes,yes
Brie Cheese,no,yes,no,no
Broccoli,yes,yes,yes,yes
Brown Rice,yes,yes,yes,no
Brown Rice Pasta,yes,yes,yes,no
Brussel Sprouts,yes,yes,yes,yes
Buckwheat (Soba) Noodles,yes,yes,yes,yes
Cabbage,yes,yes,yes,yes
Cacao,yes,no,no,yes
Camembert Cheese,no,yes,no,yes
Capers,no,no,no,no
Carrots,yes,yes,yes,yes
Cashews,yes,yes,yes,yes
Cauliflower,yes,yes,yes,yes
Celery,yes,yes,yes,yes
Cheddar Cheese,no,yes,No,
Cherries,no,no,yes,no
Chia Seeds,yes,no,yes,yes
Chicken Breast,no,no,no,yes
Chickpea Pasta,yes,yes,yes,yes
Chickpeas,yes,yes,yes,yes
Chili Peppers,no,no,no,yes
Cinnamon,no,no,no,no
Cloves,no,no,no,no
Cod Liver Oil,yes,yes,yes,yes
Coffee,yes,yes,yes,yes
Collard Greens,yes,yes,yes,yes
Cornmeal (whole grain),yes,yes,no,yes
Cottage Cheese,Yes,yes,no,
Cranberries,yes,yes,no,yes
Cranberries (Dried),yes,yes,no,yes
Cucumber,yes,yes,yes,yes
Dates,yes,yes,yes,yes
Edam Cheese,no,yes,no,
Edamame,yes,yes,yes,yes
Eggplant,yes,yes,yes,yes
Eggs,yes,no,no,no
Farro,yes,yes,yes,no
Feta Cheese,no,yes,no,no
Figs,yes,no,yes,yes
Flaxseeds,no,no,no,yes
Flounder,yes,yes,yes,no
Garlic,,,,
Golgi Berries,yes,yes,no,yes
Gooseberries,yes,yes,no,yes
Gooseberries (Dried),yes,yes,no,yes
